index,mean,std,min,25%,50%,75%,max,skewness
GDP_log,24.6781,2.3301,17.9472,23.4073,24.6054,26.539,30.9532,-0.1069
Population_log,15.7611,2.1498,9.1918,14.6534,16.0271,17.3311,21.0866,-0.5022
GDP_growth,3.277,6.8636,-20.11,1.19,2.94,5.04,75.06,6.4824
GDP_per_capita,17711.2928,23301.4945,193.0,2478.0,7182.0,22798.0,128936.0,2.0722
Share_world_GDP,0.544,2.3704,0.0,0.01,0.05,0.32,26.11,8.9085
